QType,QID,ITEM,Detail
YesNo,S4Q7,Has the agency deployed OneVision Agency?,If appropriate- note current version.
YesNo,S4Q8,Has the agency deployed OneVision HQ?,If appropriate- note current version.
YesNo,S4Q9,Has the agency deployed Onevision Depot?,If appropriate- note current version.
YesNo,S4Q10,Has the agency deployed Party Data Mangement?,If appropriate- note current version.
YesNo,S4Q11,Has the agency deployed Saleslink?,If appropriate- note current version.
AllMostSomeNone,S4Q12,Are non-supported or unupdated or legacy applications secured and segregated from the active LAN?,Confirm how they are isolated (Vnet- virtual hosts).
YesNo,S5Q1,Is a BCP plan in place?,How was it created or managed?
TextField,S5Q2,How often are BCP plans tested?,Who performs or validates- what- how- when- updates or changes
YesNo,S6Q1,Are you using any IaaS services?, If yes- list them and specifiy purpose.
YesNo,S6Q2,Are you using any PaaS services?, If yes- list them and specifiy purpose.
YesNo,S6Q3,Are you using any SaaS services?, If yes- list them and specifiy purpose (file transfer- cloud storage- collaboration).
YesNo,S6Q4,Does your agency follow MSC standards regarding social media pages or accounts?,If local sites or social media accounts are used- please provide details.
YesNo,S7Q1,Is access to sensitive data restricted?,Please provide an outline of processes or controls used.
YesNo,S7Q2,Are you actively using Azure Information Protection (AIP) to classify information?,Please detail how this is checked or known by IT.
YesNo,S8Q1,Is the datacenter internal?, If external- what tier is it?
TextField,S8Q2,How many Datacenter incidents (failures) did you have in services in the last 12 months- in the last 5 years?,Provide short details of outage and reparations.
YesNo,S8Q3,Is the Datacenter Airconditioned?,If not- what cooling is in place.  How is temperature controlled?
YesNo,S8Q4,Is the AC redundant?,Provide evidence the units are maintenance and regularly maintained.
YesNo,S8Q5,Does the datacenter have a smoke detector?,Confirm it is under maintenance and last date (approximately) checked.
YesNo,S8Q6,Does the datacenter have a humidity detector?,Confirm it is under maintenance and last date (approximately) checked.
YesNo,S8Q7,Does the datacenter have a water leak detector?,Confirm it is under maintenance and last date (approximately) checked.
YesNo,S8Q8,Does the datacenter have a UPS?,Detail model and capacity.  Confirm under maintenance and last check date.
YesNo,S8Q9,Does the UPS have a bypass functionality in case the UPS fails?,Is this regularly tested- if so- provide evidence?
YesNo,S8Q10,Does power enter the datacenter through seperate building entries?,Provide Power Provider(s) details.
YesNo,S8Q11,Is Datacenter access controlled?,If so- please provide details. If not- please explain why.
YesNo,S8Q12,Are racks locked or access controlled?,If so- please provide details. If not- please explain why.
YesNo,S8Q13,Does the datacenter have a diesel generator backup?,Is it dedicated or shared?  Provide details of any regular testing.
YesNo,S8Q14,Does the datacenter have a fire supression system?,If so- provide details.  If not- please provide justification.
YesNo,S8Q15,Is the serverroom coated or painted with fire resistant paint?,If so- provide details.  If not- please provide justification.
YesNo,S8Q16,Is there a separate rack for 3rd party providers versus MSC owned hardware?,If not- please confirm how unauthorised access is prevented.
YesNo,S8Q17,Is the datacenter clean and free from inflamatory products (such as paper)?,Any notes from visual inspection.
YesNo,S8Q18,Is the datacenter protected with security cameras?,Please provide details - quantity- management system etc.
YesNo,S8Q19,Are color coded UTP cables used depending on the VLAN?,Please confirm colour usage.
YesNo,S9Q1,Is a Disaster Recovery site available?,Provide details (provider- distance- size).
YesNo,S9Q2,Is the DR site adequately sized and equiped?,Demonstrate any capacity management process(es)
YesNo,S9Q3,If DR site not readily available: Is hardware available within 8 hours?,Provide details of hardware providor(s)- spare hardware etc.
YesNo,S9Q4,Is a DR plan available?,How was it created or managed?
TextField,S9Q5,Detail DR plan management: testing + review or change (whom- what- when- validation),Who performs or validates- what- how- when- updates or changes
YesNo,S9Q6,Is your DR RPO below 48 hours?,Please clarify any details - e.g. all services- only a list etc
YesNo,S9Q7,Is your DR RTO below 24 hours?,Please clarify any details - e.g. all services- only a list etc
YesNo,S9Q8,Is a structure backup strategy in place?,Detail your backup structure- timing and targets.
Textfield,S9Q9,Detail backup management process(es): monitoring- alerting- reports,
YesNo,S9Q10,Are backups stored at a remote- secure site?,Provide details
YesNo,S9Q11,Are backups stored offline?,What type of media is used?
YesNo,S9Q12,Are backups encrypted?,If so- where are the keys stored?  Are they independent of media?
YesNo,S9Q13,The Agency has a yearly backup for at least the last 7 years,Detail how this is checked.
YesNo,S9Q14,Are you performing a VM backup or System State backup for AD?,How is this done? (Product- process)
